mes_referencia,faixa_etaria,sexo,uf,total,com_sintoma,pct_com_sintoma_chave
8,80+,Homem,Rio Grande do Norte,102,2,0.0196
8,80+,Homem,Rio Grande do Sul,278,17,0.0612
8,80+,Homem,Rio de Janeiro,336,7,0.0208
8,80+,Homem,Rondônia,41,1,0.0244
8,80+,Homem,Roraima,32,2,0.0625
8,80+,Homem,Santa Catarina,227,10,0.0441
8,80+,Homem,Sergipe,70,4,0.0571
8,80+,Homem,São Paulo,393,17,0.0433
8,80+,Homem,Tocantins,62,3,0.0484
8,80+,Mulher,Acre,58,3,0.0517
8,80+,Mulher,Alagoas,140,3,0.0214
8,80+,Mulher,Amapá,28,2,0.0714
8,80+,Mulher,Amazonas,94,6,0.0638
8,80+,Mulher,Bahia,246,8,0.0325
8,80+,Mulher,Ceará,311,4,0.0129
8,80+,Mulher,Distrito Federal,94,1,0.0106
8,80+,Mulher,Espírito Santo,253,8,0.0316
8,80+,Mulher,Goiás,168,13,0.0774
8,80+,Mulher,Maranhão,201,8,0.0398
8,80+,Mulher,Mato Grosso,119,3,0.0252
8,80+,Mulher,Mato Grosso do Sul,99,5,0.0505
8,80+,Mulher,Minas Gerais,579,20,0.0345
8,80+,Mulher,Paraná,305,8,0.0262
8,80+,Mulher,Paraíba,167,11,0.0659
8,80+,Mulher,Pará,105,2,0.019
8,80+,Mulher,Pernambuco,221,4,0.0181
8,80+,Mulher,Piauí,118,1,0.0085
8,80+,Mulher,Rio Grande do Norte,140,2,0.0143
8,80+,Mulher,Rio Grande do Sul,463,21,0.0454
8,80+,Mulher,Rio de Janeiro,684,8,0.0117
8,80+,Mulher,Rondônia,53,0,0.0
8,80+,Mulher,Roraima,32,0,0.0
8,80+,Mulher,Santa Catarina,380,21,0.0553
8,80+,Mulher,Sergipe,102,3,0.0294
8,80+,Mulher,São Paulo,601,22,0.0366
8,80+,Mulher,Tocantins,60,3,0.05
9,0-9,Homem,Acre,461,5,0.0108
9,0-9,Homem,Alagoas,802,17,0.0212
9,0-9,Homem,Amapá,199,5,0.0251
9,0-9,Homem,Amazonas,816,15,0.0184
9,0-9,Homem,Bahia,1011,20,0.0198
9,0-9,Homem,Ceará,1096,31,0.0283
9,0-9,Homem,Distrito Federal,378,4,0.0106
